LINEGEOMETRYC
IDOBJ_GID,IDOBJ_NAME,IDOBJ_ALIAS,IDOBJ_CUSTOMID,1152921504606912257,LINEGEOMETRYC_HEIGHT,LINEGEOMETRYC_NEUTRAL,LINEGEOMETRYC_PHASECOUNT,LINEGEOMETRYC_XA,LINEGEOMETRYC_YA,LINEGEOMETRYC_XB,LINEGEOMETRYC_YB,LINEGEOMETRYC_XC,LINEGEOMETRYC_YC,LINEGEOMETRYC_XN,LINEGEOMETRYC_YN
GID,Name,Alias,Custom ID,Visible en producción,Height,Neutral conductor,Phase count,Xa,Ya,Xb,Yb,Xc,Yc,Xn,Yn
"1318429117330246667","GIS_LGC_11m_False_-1.8m_0m_0m_0.8m_1.8m_0m_0m_0m_3","","DDD50DFEA1AE75E149ED043B9A8FBD0E48399A8D","true","11","false","3","-1.8","0","0","0.8","1.8","0","-0.5","-0.5"
"1318429117330246658","GIS_LGC_12m_False_-1.1m_0m_0m_0m_0.4m_0m_0m_0m_2","","3D752B172D9BC6927B47782546AD93411CEF33E3","true","12","false","2","-1.1","0","0","0","0.4","0","-0.5","-0.5"
"1318429117330246646","GIS_LGC_16m_False_0.7m_0m_1.4m_0m_2.1m_0m_0m_0m_3","","9071C0520C0931855103A2A4CF72E77528030370","true","16","false","3","0.7","0","1.4","0","2.1","0","-0.5","-0.5"
"1318429117330246639","GIS_LGC_14m_False_-1.8m_0m_0m_0.8m_1.8m_0m_0m_0m_3","","ADFA1EBA2B5CF281B3B52B9C75B718B08136A058","true","14","false","3","-1.8","0","0","0.8","1.8","0","-0.5","-0.5"
"1318429117330246635","GIS_LGC_18m_False_-0.2m_0.2m_0m_0m_0.2m_0.2m_0m_0m_3","","71631B08DDF50E0F1150BB8B6841D62B6D32E3F6","true","18","false","3","-0.2","0.2","0","0","0.2","0.2","-0.5","-0.5"
"1318429117330246621","GIS_LGC_12m_False_0m_0m_0.7m_0m_1.4m_0m_0m_0m_2","","C55085A15D6B03185942985C86C4EEF4045B7E03","true","12","false","2","-0.5","0","0.7","0","1.4","0","-0.5","-0.5"
"1318429117330246586","GIS_LGC_16m_False_-1.1m_0m_0m_0m_0m_0.8m_0m_0m_2","","B28FA8DDD0968237E4EC7D82E912700D4B6A1239","true","16","false","2","-1.1","0","0","0","0","0.8","-0.5","-0.5"
"1318429117330246585","GIS_LGC_13m_False_-1.8m_0m_0m_0m_1.8m_0m_0m_0m_3","","2E449B6C42B444436BE037FD452DCFC3EB1003CF","true","13","false","3","-1.8","0","0","0","1.8","0","-0.5","-0.5"
"1318429117330246541","GIS_LGC_14m_False_0m_1m_0m_0m_0m_-1m_0m_0m_3","","FE7B0DC4D5CB09D3686C58F010BEEDFF156BE36C","true","14","false","3","0","1","0","0","0","-1","-0.5","-0.5"
"1318429117330246533","GIS_LGC_20m_False_0m_0m_-1.1m_0m_0m_0.8m_0m_0m_2","","D0D5C294880CFC5ADB668363230091BA6D027401","true","20","false","2","-0.5","0","-1.1","0","0","0.8","-0.5","-0.5"
"1318429117330246525","GIS_LGC_16m_False_0m_0m_-1.1m_0m_0m_0.8m_0m_0m_2","","C100EB418F054901D58677C9881F1C0A0114C4A8","true","16","false","2","-0.5","0","-1.1","0","0","0.8","-0.5","-0.5"
"1318429117330246524","GIS_LGC_14m_False_0m_0m_-1.1m_0m_0m_0.8m_0m_0m_2","","E2A8A7C33029F58D370DB5051ABB8FE92C36A9E4","true","14","false","2","-0.5","0","-1.1","0","0","0.8","-0.5","-0.5"
"1318429117330246487","GIS_LGC_11m_False_-1.1m_0m_0m_0.8m_0.7m_0m_0m_0m_3","","E1E7345A83DADE248E4EFB0359D2A61E022318D2","true","11","false","3","-1.1","0","0","0.8","0.7","0","-0.5","-0.5"
"1318429117330246483","GIS_LGC_10m_False_0m_0m_-1.1m_0m_0m_0.8m_0m_0m_2","","0EF65A92EE20E57DB062B00F864B6CA36C2EEB90","true","10","false","2","-0.5","0","-1.1","0","0","0.8","-0.5","-0.5"
"1318429117330246476","GIS_LGC_8m_False_0.7m_0m_1.4m_0m_2.1m_0m_0m_0m_3","","6B6AB6DF6BE4237595A168CE0711674DA548137C","true","8","false","3","0.7","0","1.4","0","2.1","0","-0.5","-0.5"
"1318429117330246472","GIS_LGC_13m_False_-1.1m_0m_0m_0m_0m_0.8m_0m_0m_2","","E9FD6A2CDF47A992E9DA4472617458301861F0CE","true","13","false","2","-1.1","0","0","0","0","0.8","-0.5","-0.5"
"1318429117330246470","GIS_LGC_10m_False_0m_2m_0m_0.8m_0m_0m_0m_0m_2","","F2B6C9FF0E1EF51C9F4C1B258BE2473FD4252750","true","10","false","2","0","2","0","0.8","0.5","0","-0.5","-0.5"
"1318429117330246445","GIS_LGC_8m_False_-0.6m_0m_0m_0.8m_0.6m_0m_0m_0m_3","","634D36C2A23F0E32E53A04530CBC696FDF54717B","true","8","false","3","-0.6","0","0","0.8","0.6","0","-0.5","-0.5"
"1318429117330246426","GIS_LGC_10m_False_-1.1m_0m_0.4m_0m_0.7m_0m_0m_0m_3","","135A50B276B8E27DE37A5DEF753F31FA7B43075C","true","10","false","3","-1.1","0","0.4","0","0.7","0","-0.5","-0.5"
"1318429117330246390","GIS_LGC_16m_False_-1.8m_0m_0m_0m_1.8m_0m_0m_0m_3","","6F1033D618E2FA638DA853D67972E461291EDA92","true","16","false","3","-1.8","0","0","0","1.8","0","-0.5","-0.5"
"1318429117330246382","GIS_LGC_20m_False_-1.1m_0m_0.4m_0m_0.7m_0m_0m_0m_3","","08BECE5E21740F1407831C064A3050460D0D749F","true","20","false","3","-1.1","0","0.4","0","0.7","0","-0.5","-0.5"
"1318429117330246373","GIS_LGC_5m_False_-0.2m_0.2m_0m_0m_0.2m_0.2m_0m_0m_3","","1B77537CB79D1F1396C6EABD5CEC881BBD2BE3FE","true","5","false","3","-0.2","0.2","0","0","0.2","0.2","-0.5","-0.5"
"1318429117330246353","GIS_LGC_8m_False_-1.1m_0m_0m_0m_1.1m_0m_0m_0m_3","","58F931EE9DE90EE282817DD915225747B7EEBB6E","true","8","false","3","-1.1","0","0","0","1.1","0","-0.5","-0.5"
"1318429117330246352","GIS_LGC_20m_False_-1.8m_0m_0m_0m_1.8m_0m_0m_0m_3","","2C9279DB86453B844FBE24D19D56728DEC237A76","true","20","false","3","-1.8","0","0","0","1.8","0","-0.5","-0.5"
"1318429117330246336","GIS_LGC_24m_False_-1.1m_0m_0m_0.8m_1.1m_0m_0m_0m_3","","6E21A107FDDC5143DD0FAFF78499654AAD9532C9","true","24","false","3","-1.1","0","0","0.8","1.1","0","-0.5","-0.5"
"1318429117330246334","GIS_LGC_20m_False_-1.1m_0m_0m_0.8m_1.1m_0m_0m_0m_3","","C296313F7F46704A16A8A7B6BD04138B634BCC05","true","20","false","3","-1.1","0","0","0.8","1.1","0","-0.5","-0.5"
"1318429117330246331","GIS_LGC_20m_False_-1.1m_0m_0m_0m_1.1m_0m_0m_0m_3","","428A86FCDDC8A4C1E279DF95237EAD7B8FFB72DA","true","20","false","3","-1.1","0","0","0","1.1","0","-0.5","-0.5"
"1318429117330246320","GIS_LGC_16m_False_-1.1m_0m_0m_0.8m_1.1m_0m_0m_0m_3","","D257B5BDF9C94EBA66BF27EAE6096C542DBDD475","true","16","false","3","-1.1","0","0","0.8","1.1","0","-0.5","-0.5"
"1318429117330246316","GIS_LGC_13m_False_-1.1m_0m_0.4m_0m_0.7m_0m_0m_0m_3","","0EEB61293A1AF61429455EBA21FDAEBE3F4EF14E","true","13","false","3","-1.1","0","0.4","0","0.7","0","-0.5","-0.5"
"1318429117330246299","GIS_LGC_10m_False_-0.2m_0.2m_0m_0m_0.2m_0.2m_0m_0m_3","","C222B82F0B3FFEBACB79B875DC035701538D06ED","true","10","false","3","-0.2","0.2","0","0","0.2","0.2","-0.5","-0.5"
"1318429117330246297","GIS_LGC_10m_False_-0.6m_0m_0m_0.8m_0.6m_0m_0m_0m_3","","AFABE65E5EA05FEC2793972B3B460998448FB6DC","true","10","false","3","-0.6","0","0","0.8","0.6","0","-0.5","-0.5"
"1318429117330246294","GIS_LGC_12m_False_0m_0m_0.7m_0m_0m_0.8m_0m_0m_2","","8B8ABB9D4EDB7426491358AC107643DE3D4DF0FF","true","12","false","2","-0.5","0","0.7","0","0","0.8","-0.5","-0.5"
"1318429117330246293","GIS_LGC_12m_False_0.7m_0m_0m_0.8m_2.1m_0m_0m_0m_3","","B0E5A57480AE75ECCC7C67D50A858108B8557A12","true","12","false","3","0.7","0","0","0.8","2.1","0","-0.5","-0.5"
"1318429117330246283","GIS_LGC_8m_False_-1.1m_0m_0.4m_0m_0.7m_0m_0m_0m_3","","888E7663207FB51068E4011C6C8E2929DBC5DFC5","true","8","false","3","-1.1","0","0.4","0","0.7","0","-0.5","-0.5"
