,job_id,job_name,step_name,version
111,3538,20220801285,Espera Confirmación ADMS,EDELGADO.GIS20220801285_NWO
112,3253,20220801293,Definir,.
113,3245,20220801307,Revisar Prediseño,CAPEREZS.GIS20220801307_NWO
114,3537,20220801277,Finalizado,DAARBELAEZ.GIS20220801277_WO400415022_PO
115,3250,20220801171,Finalizado,AMVELEZ.GIS20220801171_WO400275186_PO
116,3251,20220801188,Finalizado,EDELGADO.GIS20220801188_WO400485128_PO
117,3240,20220801218,Anular TQ,.
118,3241,20220801226,Anular TQ,.
119,3238,20220801196,Promover en ADMS,EDELGADO.GIS20220801196_WO400485128_PO
120,3239,20220801201,Anular TQ,.
121,3242,20220801234,Editar Diseño,HRRODRIGUEZS.GIS20220801234_NWO
122,3259,20220801390,Definir,.
123,3553,20220801404,Editar Prediseño,.
124,3569,20220801412,Definir,.
125,3570,20220801420, Enviar a ADMS,OIZQUIERDO.GIS20220801420_NWO
126,3571,20220801439,Definir,.
127,3260,20220801447,Definir,.
128,3261,20220801455,Revisar Prediseño,CAPEREZS.GIS20220801455_NWO
129,3254,20220801315,Anular TQ,.
130,3255,20220801323,Definir,.
131,3256,20220801331,Definir,.
132,3257,20220801358,Definir,.
133,3258,20220801382,Definir,.
134,3246,20220801341,Espera Confirmación ADMS,JNGAVIRIA.GIS20220801341_NWO
135,3247,20220801366,Finalizado,CMVALLEJO.GIS20220801366_NWO
136,3247,20220801366,Finalizado,CMVALLEJO.TQ_20220801366
137,3248,20220801374,Definir,.
138,3576,20220801536,Definir,.
139,3585,20220801544,Definir,.
140,3586,20220801552,Revisar Prediseño,.
141,3578,20220801595,Revisar Prediseño,.
142,3587,20220801560,Finalizado,MHHERRERA.GIS20220801560_NWO
143,3588,20220801579,Promover en ADMS,RVANEGASB.GIS20220801579_NWO
144,3572,20220801463,Prediseño en StandBy,.
145,3573,20220801471,Revisar Prediseño,.
146,3574,20220801501,Definir,.
147,3575,20220801511,Finalizado,EDELGADO.GIS20220801511_NWO
148,3262,20220801481,Promover en ADMS,DAARBELAEZ.GIS20220801481_WO400433230_PO
149,3263,20220801498,Definir,.
150,3264,20220801528,Definir,.
151,3582,20220801668,Promover en ADMS,CCHAPID.GIS20220801668_WO400464344_PO
152,3603,20220801722,Definir,.
153,3604,20220801730,Espera Confirmación ADMS,MICARVAJAL.GIS20220801730_NWO
154,3593,20220801749,Finalizado,DFLOPEZ.GIS20220801749_WO400365999_PO
155,3589,20220801609,Promover en ADMS,AMVELEZ.GIS20220801609_NWO
156,3590,20220801625,Definir,.
157,3591,20220801633,Revisar Prediseño,.
158,3592,20220801676,Definir,.
159,3584,20220801692, Enviar a ADMS,HRRODRIGUEZS.GIS20220801692_NWO
160,3601,20220801706,Revisar Prediseño,.
161,3602,20220801714,Revisar Prediseño,.
162,3579,20220801617,Definir,.
163,3580,20220801641, Diseño en StandBy,JMPARRA.GIS20220801641_NWO
164,3581,20220801651,Definir,.
165,3555,20220801821,Definir,.
166,2959,20220800920,Definir,.
167,3610,20220801846,Revisión TQ,ALSOLANO.GIS20220801846_WO400353889_PO
168,2600,20220800173,Editar Prediseño,.
169,3611,20220801854,Prediseño en StandBy,PSILVA.GIS20220801854_WO400467294_PO
170,3612,20220801862,Definir,.
171,3595,20220801870,Promover en ADMS,AMVELEZ.GIS20220801870_WO400427471_PO
172,3605,20220801757,Anular TQ,RVANEGASB.GIS20220801757_WO400474748_PO
173,3606,20220801765,Finalizado,RDGONZALEZ.GIS20220801765_NWO
174,3607,20220801773,Promover en ADMS,ALSOLANO.GIS20220801773_WO400458432_PO
175,3608,20220801781,Promover en ADMS,PSILVA.GIS20220801781_WO400328800_PO
176,3609,20220801791,Prediseño en StandBy,JNGAVIRIA.GIS20220801791_WO400407114_PO
177,3594,20220801803,Prediseño en StandBy,SPACOSTA.GIS20220801803_WO400471713_PO
178,3554,20220801811,Definir,.
179,3613,20220802036,Definir,.
